# mcs  k  T(k)  Q(k)  Eavg(k)
         300   10     1.152941           22       -88.8877113925
         300   11     1.258824           -8       -88.3380705252
         300   12     1.364706           22       -90.0609376417
         300   13     1.470588            6       -80.9116762497
         300   14     1.576471           -8       -82.6931889583
         300   15     1.682353          -26       -82.9950679662
         300   16     1.788235           14       -70.6147956381
         300   17     1.894118            6       -77.0823887508
         300   18     2.000000           22       -87.7074652994
         310    1     0.200000           34       -99.2724848772
         310    2     0.305882           62       -97.8872276694
         310    3     0.411765           -8       -97.2555610942
         310    4     0.517647           40       -97.0174513054
         310    5     0.623529           54       -97.0877098482
         310    6     0.729412          -30       -94.5894720901
         310    7     0.835294          -16       -95.9379359184
         310    8     0.941176           42       -91.0394835339
         310    9     1.047059           28       -96.2909123914
         310   10     1.152941           42       -91.2775966594
         310   11     1.258824           24       -87.6149476762
         310   12     1.364706            6       -84.9639489128
         310   13     1.470588           34       -86.2864796835
         310   14     1.576471          -14       -70.1737563789
         310   15     1.682353           18       -80.5945932247
         310   16     1.788235          -12       -63.1375073580
         310   17     1.894118          -14       -66.9250080007
         310   18     2.000000           16       -67.5016619816
         320    1     0.200000           34       -99.2724848772
         320    2     0.305882          -24       -98.8659502657
         320    3     0.411765           -2       -96.7164884029
         320    4     0.517647           60       -97.2173415357
         320    5     0.623529           42       -97.7366204965
         320    6     0.729412          -16       -91.0196686974
         320    7     0.835294          -30       -90.1764653193
         320    8     0.941176           28       -91.6706623071
         320    9     1.047059           42       -89.4616166294
         320   10     1.152941           30       -92.5970592938
         320   11     1.258824            4       -85.7072352090
         320   12     1.364706          -12       -90.5314799564
         320   13     1.470588           20       -90.8254549439
         320   14     1.576471           20       -75.7279773525
         320   15     1.682353            0       -85.3461317512
         320   16     1.788235          -12       -83.5458254034
         320   17     1.894118           -8       -72.1850991123
         320   18     2.000000           10       -69.9968901342
         330    1     0.200000           58      -100.0804142745
         330    2     0.305882          -64       -98.1224017978
         330    3     0.411765           60       -97.0200195223
         330    4     0.517647            0       -96.2273742152
         330    5     0.623529          -34       -96.8641849308
         330    6     0.729412           16       -92.6158850076
         330    7     0.835294          -20       -95.8946939038
         330    8     0.941176           28       -92.5592581495
         330    9     1.047059           46       -89.5195966503
         330   10     1.152941           32       -90.3189635268
         330   11     1.258824           12       -90.3187247466
         330   12     1.364706           16       -95.4363564654
         330   13     1.470588            0       -85.6192824201
         330   14     1.576471          -22       -79.3340053143
         330   15     1.682353          -12       -75.8063869743
         330   16     1.788235           18       -79.9805524631
         330   17     1.894118           14       -72.7865636268
         330   18     2.000000          -10       -67.2222009262
         340    1     0.200000           58       -99.7225878009
         340    2     0.305882           62       -97.5512337924
         340    3     0.411765          -58       -97.1197179415
         340    4     0.517647          -34       -96.5463431228
         340    5     0.623529           -8       -95.1516157616
         340    6     0.729412          -22       -94.8007230091
         340    7     0.835294           36       -93.2710905316
         340    8     0.941176           36       -94.3464297264
         340    9     1.047059           42       -93.7170529865
         340   10     1.152941          -36       -93.3741447647
         340   11     1.258824           22       -91.3544097987
         340   12     1.364706           10       -89.6503912345
         340   13     1.470588           16       -75.8141044174
         340   14     1.576471           18       -84.4744206760
         340   15     1.682353          -30       -88.6134556749
         340   16     1.788235           20       -75.1733660849
         340   17     1.894118           14       -75.7258616046
         340   18     2.000000           -8       -78.4974273145
         350    1     0.200000           58      -100.0804142745
         350    2     0.305882           60       -97.4651118836
         350    3     0.411765           22       -97.6685888649
         350    4     0.517647           10       -96.6239984559
         350    5     0.623529          -22       -96.9683071399
         350    6     0.729412            0       -94.9675034671
         350    7     0.835294           -2       -94.2176076637
         350    8     0.941176          -10       -94.8640693510
         350    9     1.047059          -30       -92.9784646987
         350   10     1.152941           30       -90.7611337237
         350   11     1.258824           -2       -84.4872337792
         350   12     1.364706            0       -88.4898843186
         350   13     1.470588           10       -80.6567104419
         350   14     1.576471           40       -79.8775118354
         350   15     1.682353           18       -86.1996905183
         350   16     1.788235           -6       -77.4115692312
         350   17     1.894118          -26       -74.1026757447
         350   18     2.000000           10       -75.5466660188
         360    1     0.200000           56      -100.2512074734
         360    2     0.305882          -40       -97.5073245281
         360    3     0.411765          -40       -97.3209428942
         360    4     0.517647          -12       -97.8374100936
         360    5     0.623529           26       -97.3717500436
         360    6     0.729412            0       -94.4537928118
         360    7     0.835294           -4       -95.9242780094
         360    8     0.941176          -12       -94.9838520498
         360    9     1.047059          -26       -91.6527345983
         360   10     1.152941          -14       -87.6002260697
         360   11     1.258824          -44       -89.2046750502
         360   12     1.364706          -14       -80.9901165982
         360   13     1.470588            6       -75.9876887511
         360   14     1.576471            8       -76.8795689000
         360   15     1.682353           26       -77.4900640614
         360   16     1.788235          -20       -81.2239409690
         360   17     1.894118          -12       -74.7695527624
         360   18     2.000000            2       -66.1116214411
         370    1     0.200000           56      -100.2512074734
         370    2     0.305882          -40       -97.8788886336
         370    3     0.411765           38       -98.0342513662
         370    4     0.517647           36       -96.6430592658
         370    5     0.623529           -6       -95.0130387255
         370    6     0.729412           16       -95.2065727018
         370    7     0.835294           -6       -97.0498812077
         370    8     0.941176          -26       -94.9697778819
         370    9     1.047059          -14       -86.7842473368
         370   10     1.152941          -34       -92.2632680813
         370   11     1.258824          -34       -88.3382313637
         370   12     1.364706           -8       -75.4249761903
         370   13     1.470588           10       -85.2943178292
         370   14     1.576471           34       -87.0346089789
         370   15     1.682353          -10       -81.0428845678
         370   16     1.788235           10       -82.8774234092
         370   17     1.894118            0       -81.8108269440
         370   18     2.000000            2       -75.5773305834
         380    1     0.200000           56      -100.2512074734
         380    2     0.305882           40       -98.3060086032
         380    3     0.411765          -42       -98.1643308303
         380    4     0.517647           -8       -97.4439986174
         380    5     0.623529           34       -95.6019905062
         380    6     0.729412           -8       -96.5724725878
         380    7     0.835294           10       -96.9172518738
         380    8     0.941176           42       -92.2133742833
         380    9     1.047059           40       -91.6854957004
