# nmeas_total =          700
# k  T  Q  count
   7     0.669565      6            4
   7     0.669565      7            0
   7     0.669565      8            2
   7     0.669565      9            0
   7     0.669565     10            1
   7     0.669565     11            0
   7     0.669565     12            4
   7     0.669565     13            0
   7     0.669565     14            4
   7     0.669565     15            0
   7     0.669565     16            4
   7     0.669565     17            0
   7     0.669565     18           10
   7     0.669565     19            0
   7     0.669565     20           11
   7     0.669565     21            0
   7     0.669565     22           10
   7     0.669565     23            0
   7     0.669565     24           13
   7     0.669565     25            0
   7     0.669565     26           12
   7     0.669565     27            0
   7     0.669565     28           17
   7     0.669565     29            0
   7     0.669565     30           14
   7     0.669565     31            0
   7     0.669565     32           17
   7     0.669565     33            0
   7     0.669565     34            9
   7     0.669565     35            0
   7     0.669565     36           15
   7     0.669565     37            0
   7     0.669565     38           24
   7     0.669565     39            0
   7     0.669565     40           31
   7     0.669565     41            0
   7     0.669565     42           19
   7     0.669565     43            0
   7     0.669565     44           15
   7     0.669565     45            0
   7     0.669565     46           18
   7     0.669565     47            0
   7     0.669565     48           15
   7     0.669565     49            0
   7     0.669565     50           18
   7     0.669565     51            0
   7     0.669565     52            9
   7     0.669565     53            0
   7     0.669565     54           15
   7     0.669565     55            0
   7     0.669565     56           15
   7     0.669565     57            0
   7     0.669565     58           12
   7     0.669565     59            0
   7     0.669565     60           12
   7     0.669565     61            0
   7     0.669565     62           12
   7     0.669565     63            0
   7     0.669565     64            5
   8     0.747826    -64            2
   8     0.747826    -63            0
   8     0.747826    -62            3
   8     0.747826    -61            0
   8     0.747826    -60            3
   8     0.747826    -59            0
   8     0.747826    -58            8
   8     0.747826    -57            0
   8     0.747826    -56            7
   8     0.747826    -55            0
   8     0.747826    -54            8
   8     0.747826    -53            0
   8     0.747826    -52           14
   8     0.747826    -51            0
   8     0.747826    -50            9
   8     0.747826    -49            0
   8     0.747826    -48           19
   8     0.747826    -47            0
   8     0.747826    -46           17
   8     0.747826    -45            0
   8     0.747826    -44           31
   8     0.747826    -43            0
   8     0.747826    -42           19
   8     0.747826    -41            0
   8     0.747826    -40           19
   8     0.747826    -39            0
   8     0.747826    -38           19
   8     0.747826    -37            0
   8     0.747826    -36           17
   8     0.747826    -35            0
   8     0.747826    -34           15
   8     0.747826    -33            0
   8     0.747826    -32           17
   8     0.747826    -31            0
   8     0.747826    -30           19
   8     0.747826    -29            0
   8     0.747826    -28           13
   8     0.747826    -27            0
   8     0.747826    -26           12
   8     0.747826    -25            0
   8     0.747826    -24           19
   8     0.747826    -23            0
   8     0.747826    -22           11
   8     0.747826    -21            0
   8     0.747826    -20            7
   8     0.747826    -19            0
   8     0.747826    -18            6
   8     0.747826    -17            0
   8     0.747826    -16            7
   8     0.747826    -15            0
   8     0.747826    -14            7
   8     0.747826    -13            0
   8     0.747826    -12            4
   8     0.747826    -11            0
   8     0.747826    -10            7
   8     0.747826     -9            0
   8     0.747826     -8            5
   8     0.747826     -7            0
   8     0.747826     -6            3
   8     0.747826     -5            0
   8     0.747826     -4            4
   8     0.747826     -3            0
   8     0.747826     -2            5
   8     0.747826     -1            0
   8     0.747826      0            3
   8     0.747826      1            0
   8     0.747826      2            5
   8     0.747826      3            0
   8     0.747826      4            1
